Frame#,sedan#,SUV#,Frame#,Frame_time#,FPS
343,2,0,343,0.16373896598815918,6.8537348919214205
344,2,0,344,0.16551876068115234,6.849609664882539
345,2,0,345,0.16435956954956055,6.846022680889429
346,2,0,346,0.15870118141174316,6.84312116458187
347,2,0,347,0.15561556816101074,6.839827790070716
348,2,0,348,0.15958881378173828,6.835502897661082
349,2,0,349,0.1553053855895996,6.832775502987289
350,2,0,350,0.15732336044311523,6.828848125433075
351,2,0,351,0.16326022148132324,6.825019738979605
352,2,0,352,0.1575477123260498,6.822083319174521
353,2,0,353,0.15700054168701172,6.819129828353903
354,2,0,354,0.15560603141784668,6.815879063671319
355,2,0,355,0.15531134605407715,6.812736495884234
356,2,0,356,0.15302729606628418,6.809621504692209
357,2,0,357,0.1605520248413086,6.805516276487283
358,2,0,358,0.15640950202941895,6.802937055311119
359,2,0,359,0.15359950065612793,6.799949878116366
360,2,0,360,0.1585676670074463,6.7964720465788
361,2,0,361,0.15338540077209473,6.793815330786499
362,2,0,362,0.15603256225585938,6.790265671129454
363,2,0,363,0.15958452224731445,6.78660982950076
364,2,0,364,0.15576577186584473,6.78387719117196
365,2,0,365,0.16084694862365723,6.780366033064331
366,2,0,366,0.1563105583190918,6.778243861242113
367,2,0,367,0.15322470664978027,6.775264691876275
368,2,0,368,0.14944052696228027,6.772632876738211
369,2,0,369,0.15460658073425293,6.77067632333565
370,2,0,370,0.17104387283325195,6.76579041619465
371,2,0,371,0.15400052070617676,6.763412836062565
372,2,0,372,0.16020750999450684,6.7599296459690565
373,2,0,373,0.15324902534484863,6.7576666134525345
374,2,0,374,0.16283416748046875,6.753505861396026
375,2,0,375,0.15298986434936523,6.751687361655172
376,2,0,376,0.15545105934143066,6.750212708374348
377,2,0,377,0.3792421817779541,6.720831976294223
378,2,0,378,0.17635416984558105,6.715754718108035
379,3,0,379,0.24362659454345703,6.702875349758761
380,3,0,380,0.24323129653930664,6.69106993008458
381,3,0,381,0.23459386825561523,6.680379571748757
382,3,0,382,0.23361635208129883,6.668791368817617
383,3,0,383,0.22535467147827148,6.659523950404179
384,3,0,384,0.22701644897460938,6.649738864804913
385,3,0,385,0.2246851921081543,6.640072609214614
386,3,0,386,0.2339317798614502,6.629353540252224
387,3,0,387,0.22040534019470215,6.619646124074042
388,3,0,388,0.22370314598083496,6.60973373335155
389,3,0,389,0.23157238960266113,6.599191731157239
390,3,0,390,0.23167014122009277,6.588209134827558
391,3,0,391,0.22084498405456543,6.5784706622971685
392,3,0,392,0.21584177017211914,6.56969756591281
393,3,0,393,0.22678136825561523,6.55981338367162
394,3,0,394,0.22750353813171387,6.5503898517753685
395,3,0,395,0.22710704803466797,6.54126407641071
396,3,0,396,0.2362368106842041,6.531359668877525
397,3,0,397,0.22791361808776855,6.522010015085113
398,3,0,398,0.2296772003173828,6.51332295280079
399,3,0,399,0.2241058349609375,6.505197418307093
400,3,0,400,0.21756720542907715,6.497371820407271
401,3,0,401,0.2276911735534668,6.489191612596015
402,3,0,402,0.22361445426940918,6.481082211866767
403,3,0,403,0.22579407691955566,6.472389826706217
404,3,0,404,0.2240149974822998,6.464216925492453
405,3,0,405,0.22348618507385254,6.455876633250386
406,3,0,406,0.23029732704162598,6.44696151520956
407,3,0,407,0.22358298301696777,6.438128041002433
408,2,0,408,0.16185903549194336,6.436060096846742
409,2,0,409,0.15707945823669434,6.435094113312687
410,2,0,410,0.15571808815002441,6.433626738733946
411,2,0,411,0.15819406509399414,6.431692674010793
412,2,0,412,0.16213321685791016,6.429703242061212
413,2,0,413,0.16197991371154785,6.428274093934553
414,2,0,414,0.17252898216247559,6.425601988978575
415,2,0,415,0.15546154975891113,6.424090836661768
416,2,0,416,0.1548144817352295,6.422840269596884
417,2,0,417,0.15256762504577637,6.422786858429736
418,2,0,418,0.1589033603668213,6.422088767729957
419,2,0,419,0.15767502784729004,6.420325430937592
420,2,0,420,0.1569654941558838,6.418688574509416
421,2,0,421,0.16157960891723633,6.416544943344566
422,2,0,422,0.15113258361816406,6.416026220244474
423,2,0,423,0.1624753475189209,6.413749230965989
424,2,0,424,0.1527113914489746,6.4133791322118014
425,2,0,425,0.16615557670593262,6.411875717967784
426,2,0,426,0.15217018127441406,6.411857636936763
427,2,0,427,0.1598067283630371,6.410957463244991
428,2,0,428,0.1572551727294922,6.40966820022905
429,2,0,429,0.15030550956726074,6.408724704517921
430,2,0,430,0.16180133819580078,6.4076946962272165
431,2,0,431,0.1596386432647705,6.4062171978362334
432,2,0,432,0.15390634536743164,6.405213413108814
433,2,0,433,0.16121935844421387,6.403011822830798
434,2,0,434,0.1630246639251709,6.401212202121825
435,2,0,435,0.15856599807739258,6.400188313730439
436,2,0,436,0.15946578979492188,6.398645642172302
437,2,0,437,0.16204214096069336,6.397020637293258
438,2,0,438,0.15633773803710938,6.39588630113097
439,2,0,439,0.16008353233337402,6.394050750901145
440,2,0,440,0.15712714195251465,6.3928939295246865
441,2,0,441,0.15317368507385254,6.391617980096428
442,2,0,442,0.3116610050201416,6.375584169874057
443,2,0,443,0.15081381797790527,6.374451342084662
444,2,0,444,0.16199064254760742,6.373454060794055
445,2,0,445,0.156646728515625,6.372555540466523
446,2,0,446,0.15827298164367676,6.370982973455157
447,2,0,447,0.16708135604858398,6.368867424974695
448,2,0,448,0.15532851219177246,6.367373749509434
449,2,0,449,0.15950345993041992,6.3656812397354985
450,2,0,450,0.16225481033325195,6.364046306236779
451,2,0,451,0.15871214866638184,6.363077887629852
452,2,0,452,0.16165781021118164,6.361296605058613
453,2,0,453,0.15819168090820312,6.360014172910228
454,1,0,454,0.09158039093017578,6.364633046009133
455,1,0,455,0.08710145950317383,6.3705144554217465
456,1,0,456,0.08803653717041016,6.376044209988404
457,1,0,457,0.09186244010925293,6.381210022910206
458,1,0,458,0.10239720344543457,6.38425930784888
459,1,0,459,0.09107565879821777,6.389578183808895
460,1,0,460,0.08970975875854492,6.393929358299188
461,1,0,461,0.09354376792907715,6.39904143883828
462,1,0,462,0.08952832221984863,6.403687124499946
463,1,0,463,0.0950322151184082,6.408663443610341
464,1,0,464,0.09139204025268555,6.413037136087288
465,1,0,465,0.08940386772155762,6.417239166357337
466,1,0,466,0.0887751579284668,6.422716984312467
467,1,0,467,0.09182596206665039,6.4277346835954
468,1,0,468,0.09610128402709961,6.4314023883647025
469,1,0,469,0.09105920791625977,6.43586528317018
470,1,0,470,0.09008479118347168,6.439848279810979
471,1,0,471,0.09141111373901367,6.445114088130158
